grande_area,assunto,n_questoes,percentual_dentro_area,total_questoes_area
Clínica Médica,Cardiologia,4,11.76,34
Clínica Médica,Hipertensão Arterial,4,11.76,34
Clínica Médica,Sepse,3,8.82,34
Clínica Médica,Reumatologia,3,8.82,34
Clínica Médica,Endocrinologia,2,5.88,34
Clínica Médica,Atenção Primária à Saúde,2,5.88,34
Clínica Médica,Oncologia,2,5.88,34
Clínica Médica,Diabetes Mellitus,2,5.88,34
Clínica Médica,Hepatologia,2,5.88,34
Clínica Médica,Doenças Infecciosas,1,2.94,34
Clínica Médica,Saúde Mental,1,2.94,34
Clínica Médica,Nefrologia,1,2.94,34
Clínica Médica,Neurologia,1,2.94,34
Clínica Médica,Violência e Vulnerabilidade,1,2.94,34
Clínica Médica,Neurologia Vascular,1,2.94,34
Clínica Médica,Imunizações,1,2.94,34
Clínica Médica,Gastroenterologia,1,2.94,34
Clínica Médica,Toxicologia,1,2.94,34
Clínica Médica,Pediatria,1,2.94,34
Cirurgia,Trauma e Atendimento Pré-Hospitalar,3,42.86,7
Cirurgia,Hepatologia,1,14.29,7
Cirurgia,Hipertensão Arterial,1,14.29,7
Cirurgia,Cirurgia de Cabeça e Pescoço,1,14.29,7
Cirurgia,Atenção Primária à Saúde,1,14.29,7
Pediatria,Pediatria,5,83.33,6
Pediatria,Cardiologia,1,16.67,6
Ginecologia e Obstetrícia,Obstetrícia,7,41.18,17
Ginecologia e Obstetrícia,Ginecologia,4,23.53,17
Ginecologia e Obstetrícia,Oncologia,2,11.76,17
Ginecologia e Obstetrícia,Endometriose,1,5.88,17
Ginecologia e Obstetrícia,Assunto não identificado,1,5.88,17
Ginecologia e Obstetrícia,Hipertensão Arterial,1,5.88,17
Ginecologia e Obstetrícia,Cardiologia,1,5.88,17
Saúde Coletiva,Atenção Primária à Saúde,14,37.84,37
Saúde Coletiva,Doenças Infecciosas,4,10.81,37
Saúde Coletiva,Saúde Mental,4,10.81,37
Saúde Coletiva,Pediatria,3,8.11,37
Saúde Coletiva,Dengue e Vigilância Epidemiológica,2,5.41,37
Saúde Coletiva,Hepatologia,2,5.41,37
Saúde Coletiva,Obstetrícia,1,2.7,37
Saúde Coletiva,Trauma e Atendimento Pré-Hospitalar,1,2.7,37
Saúde Coletiva,Imunizações,1,2.7,37
Saúde Coletiva,Arboviroses,1,2.7,37
Saúde Coletiva,Endocrinologia,1,2.7,37
Saúde Coletiva,Coloproctologia,1,2.7,37
Saúde Coletiva,Saúde Prisional,1,2.7,37
Saúde Coletiva,Cardiologia,1,2.7,37
